mg1,mg2,mg3,mg4,mg5,mg6,mg7,mg8,mg9,mg10,mg11,mg12,mg13
0,0.38557,0,0,0,0,0,0,0,0,0,0,0
0.38557,0,0.12757,0,0.11188,0,0.38557,0,0,0,0,0,0
0,0.12757,0,0.07654,0,0,0,0,0,0,0,0,0
0,0,0.07654,0,0,0,0,0,0,0,0,0,0
0,0.11188,0,0,0,0.02,0,0,0,0,0,0,0
0,0,0,0,0.02,0,0,0,0,0,0,0,0
0,0.38557,0,0,0,0,0,0.0771,0,0.02,0,0.19279,0
0,0,0,0,0,0,0.0771,0,0.07656,0,0,0,0.07764
0,0,0,0,0,0,0,0.07656,0,0,0,0,0
0,0,0,0,0,0,0.02,0,0,0,0.04226,0,0
0,0,0,0,0,0,0,0,0,0.04226,0,0,0
0,0,0,0,0,0,0.19279,0,0,0,0,0,0
0,0,0,0,0,0,0,0.07764,0,0,0,0,0
