load3,load2,load1,load4,load5,load6,load7,load8,load9,load10,load11,load12,load13
650,325,216.6666667,425,366.6666667,425,325,216.6666667,425,366.6666667,216.6666667,425,366.6666667
600,300,200,400,350,400,300,200,400,350,200,400,350
585,292.5,195,392.5,345,392.5,292.5,195,392.5,345,195,392.5,345
570,285,190,385,340,385,285,190,385,340,190,385,340
625,312.5,208.3333333,412.5,358.3333333,412.5,312.5,208.3333333,412.5,358.3333333,208.3333333,412.5,358.3333333
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
675,337.5,225,437.5,375,437.5,337.5,225,437.5,375,225,437.5,375
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
685,342.5,228.3333333,442.5,378.3333333,442.5,342.5,228.3333333,442.5,378.3333333,228.3333333,442.5,378.3333333
700,350,233.3333333,450,383.3333333,450,350,233.3333333,450,383.3333333,233.3333333,450,383.3333333
760,380,253.3333333,480,403.3333333,480,380,253.3333333,480,403.3333333,253.3333333,480,403.3333333
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
815,407.5,271.6666667,507.5,421.6666667,507.5,407.5,271.6666667,507.5,421.6666667,271.6666667,507.5,421.6666667
810,405,270,505,420,505,405,270,505,420,270,505,420
795,397.5,265,497.5,415,497.5,397.5,265,497.5,415,265,497.5,415
780,390,260,490,410,490,390,260,490,410,260,490,410
775,387.5,258.3333333,487.5,408.3333333,487.5,387.5,258.3333333,487.5,408.3333333,258.3333333,487.5,408.3333333
770,385,256.6666667,485,406.6666667,485,385,256.6666667,485,406.6666667,256.6666667,485,406.6666667
770,385,256.6666667,485,406.6666667,485,385,256.6666667,485,406.6666667,256.6666667,485,406.6666667
770,385,256.6666667,485,406.6666667,485,385,256.6666667,485,406.6666667,256.6666667,485,406.6666667
755,377.5,251.6666667,477.5,401.6666667,477.5,377.5,251.6666667,477.5,401.6666667,251.6666667,477.5,401.6666667
740,370,246.6666667,470,396.6666667,470,370,246.6666667,470,396.6666667,246.6666667,470,396.6666667
705,352.5,235,452.5,385,452.5,352.5,235,452.5,385,235,452.5,385
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
675,337.5,225,437.5,375,437.5,337.5,225,437.5,375,225,437.5,375
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
665,332.5,221.6666667,432.5,371.6666667,432.5,332.5,221.6666667,432.5,371.6666667,221.6666667,432.5,371.6666667
650,325,216.6666667,425,366.6666667,425,325,216.6666667,425,366.6666667,216.6666667,425,366.6666667
610,305,203.3333333,405,353.3333333,405,305,203.3333333,405,353.3333333,203.3333333,405,353.3333333
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
575,287.5,191.6666667,387.5,341.6666667,387.5,287.5,191.6666667,387.5,341.6666667,191.6666667,387.5,341.6666667
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
630,315,210,415,360,415,315,210,415,360,210,415,360
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
720,360,240,460,390,460,360,240,460,390,240,460,390
760,380,253.3333333,480,403.3333333,480,380,253.3333333,480,403.3333333,253.3333333,480,403.3333333
735,367.5,245,467.5,395,467.5,367.5,245,467.5,395,245,467.5,395
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
1335,667.5,445,767.5,595,767.5,667.5,445,767.5,595,445,767.5,595
1960,980,653.3333333,1080,803.3333333,1080,980,653.3333333,1080,803.3333333,653.3333333,1080,803.3333333
3825,1912.5,1275,2012.5,1425,2012.5,1912.5,1275,2012.5,1425,1275,2012.5,1425
5690,2845,1896.666667,2945,2046.666667,2945,2845,1896.666667,2945,2046.666667,1896.666667,2945,2046.666667
5675,2837.5,1891.666667,2937.5,2041.666667,2937.5,2837.5,1891.666667,2937.5,2041.666667,1891.666667,2937.5,2041.666667
5660,2830,1886.666667,2930,2036.666667,2930,2830,1886.666667,2930,2036.666667,1886.666667,2930,2036.666667
3740,1870,1246.666667,1970,1396.666667,1970,1870,1246.666667,1970,1396.666667,1246.666667,1970,1396.666667
1820,910,606.6666667,1010,756.6666667,1010,910,606.6666667,1010,756.6666667,606.6666667,1010,756.6666667
1215,607.5,405,707.5,555,707.5,607.5,405,707.5,555,405,707.5,555
610,305,203.3333333,405,353.3333333,405,305,203.3333333,405,353.3333333,203.3333333,405,353.3333333
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
750,375,250,475,400,475,375,250,475,400,250,475,400
770,385,256.6666667,485,406.6666667,485,385,256.6666667,485,406.6666667,256.6666667,485,406.6666667
790,395,263.3333333,495,413.3333333,495,395,263.3333333,495,413.3333333,263.3333333,495,413.3333333
790,395,263.3333333,495,413.3333333,495,395,263.3333333,495,413.3333333,263.3333333,495,413.3333333
790,395,263.3333333,495,413.3333333,495,395,263.3333333,495,413.3333333,263.3333333,495,413.3333333
785,392.5,261.6666667,492.5,411.6666667,492.5,392.5,261.6666667,492.5,411.6666667,261.6666667,492.5,411.6666667
780,390,260,490,410,490,390,260,490,410,260,490,410
800,400,266.6666667,500,416.6666667,500,400,266.6666667,500,416.6666667,266.6666667,500,416.6666667
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
820,410,273.3333333,510,423.3333333,510,410,273.3333333,510,423.3333333,273.3333333,510,423.3333333
800,400,266.6666667,500,416.6666667,500,400,266.6666667,500,416.6666667,266.6666667,500,416.6666667
780,390,260,490,410,490,390,260,490,410,260,490,410
780,390,260,490,410,490,390,260,490,410,260,490,410
780,390,260,490,410,490,390,260,490,410,260,490,410
750,375,250,475,400,475,375,250,475,400,250,475,400
720,360,240,460,390,460,360,240,460,390,240,460,390
695,347.5,231.6666667,447.5,381.6666667,447.5,347.5,231.6666667,447.5,381.6666667,231.6666667,447.5,381.6666667
670,335,223.3333333,435,373.3333333,435,335,223.3333333,435,373.3333333,223.3333333,435,373.3333333
635,317.5,211.6666667,417.5,361.6666667,417.5,317.5,211.6666667,417.5,361.6666667,211.6666667,417.5,361.6666667
600,300,200,400,350,400,300,200,400,350,200,400,350
585,292.5,195,392.5,345,392.5,292.5,195,392.5,345,195,392.5,345
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
570,285,190,385,340,385,285,190,385,340,190,385,340
575,287.5,191.6666667,387.5,341.6666667,387.5,287.5,191.6666667,387.5,341.6666667,191.6666667,387.5,341.6666667
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
580,290,193.3333333,390,343.3333333,390,290,193.3333333,390,343.3333333,193.3333333,390,343.3333333
630,315,210,415,360,415,315,210,415,360,210,415,360
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
720,360,240,460,390,460,360,240,460,390,240,460,390
760,380,253.3333333,480,403.3333333,480,380,253.3333333,480,403.3333333,253.3333333,480,403.3333333
735,367.5,245,467.5,395,467.5,367.5,245,467.5,395,245,467.5,395
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
910,455,303.3333333,555,453.3333333,555,455,303.3333333,555,453.3333333,303.3333333,555,453.3333333
1110,555,370,655,520,655,555,370,655,520,370,655,520
960,480,320,580,470,580,480,320,580,470,320,580,470
810,405,270,505,420,505,405,270,505,420,270,505,420
810,405,270,505,420,505,405,270,505,420,270,505,420
810,405,270,505,420,505,405,270,505,420,270,505,420
760,380,253.3333333,480,403.3333333,480,380,253.3333333,480,403.3333333,253.3333333,480,403.3333333
710,355,236.6666667,455,386.6666667,455,355,236.6666667,455,386.6666667,236.6666667,455,386.6666667
695,347.5,231.6666667,447.5,381.6666667,447.5,347.5,231.6666667,447.5,381.6666667,231.6666667,447.5,381.6666667
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
680,340,226.6666667,440,376.6666667,440,340,226.6666667,440,376.6666667,226.6666667,440,376.6666667
